date,cape,market
1881-01-31,18.47395230140494,US
1881-02-28,18.14725816499023,US
1881-03-31,18.27011914020499,US
1881-04-30,17.95010827822289,US
1881-05-31,18.869718693152592,US
1881-06-30,19.02871073111578,US
1881-07-31,18.116367187389738,US
1881-08-31,17.286243553973446,US
1881-09-30,16.724836648772897,US
1881-10-31,16.261989411181354,US
1881-11-30,16.47864231664487,US
1881-12-31,15.958754206105079,US
1882-01-31,15.678764160028743,US
1882-02-28,15.153861528363038,US
1882-03-31,15.091670299486745,US
1882-04-30,14.916997168375302,US
1882-05-31,14.567103202191758,US
1882-06-30,14.327404890131673,US
1882-07-31,15.240559761217828,US
1882-08-31,15.525429331463034,US
1882-09-30,16.081106624462315,US
1882-10-31,15.75558103052656,US
1882-11-30,15.192670313165339,US
1882-12-31,15.382128332081967,US
1883-01-31,15.27025911909857,US
1883-02-28,14.75759014617622,US
1883-03-31,15.05125412140164,US
1883-04-30,15.482067222036674,US
1883-05-31,15.335497637337067,US
1883-06-30,15.903388388583796,US
1883-07-31,15.948783127017029,US
1883-08-31,15.196810876629849,US
1883-09-30,15.494692425793458,US
1883-10-31,15.048056270223839,US
1883-11-30,15.408218142448874,US
1883-12-31,14.896403941887169,US
1884-01-31,14.432821721970727,US
1884-02-29,14.805960228816714,US
1884-03-31,14.736023454014473,US
1884-04-30,14.353453682579477,US
1884-05-31,13.46505031380491,US
1884-06-30,12.906876483666865,US
1884-07-31,13.043931585991672,US
1884-08-31,13.859813341769325,US
1884-09-30,13.569154744335725,US
1884-10-31,13.27325131913416,US
1884-11-30,13.304437602119732,US
1884-12-31,13.432292746944762,US
1885-01-31,13.129817425635967,US
1885-02-28,13.384817593597964,US
1885-03-31,13.734194093452514,US
1885-04-30,13.54854854103006,US
1885-05-31,13.71137187256194,US
1885-06-30,13.978784368698355,US
1885-07-31,14.32665877708933,US
1885-08-31,15.130410796707158,US
1885-09-30,15.11628502872425,US
1885-10-31,15.991023962168986,US
1885-11-30,16.824034498619024,US
1885-12-31,16.30447595227853,US
1886-01-31,16.69231747079766,US
1886-02-28,17.006648259461006,US
1886-03-31,16.843266101570144,US
1886-04-30,16.801716131246312,US
1886-05-31,16.86319551509784,US
1886-06-30,17.83149405537689,US
1886-07-31,17.84584504153222,US
1886-08-31,17.72391279961928,US
1886-09-30,18.147143925800037,US
1886-10-31,18.562381342866576,US
1886-11-30,18.968312634942848,US
1886-12-31,18.19405755688645,US
1887-01-31,17.512222096304964,US
1887-02-28,17.125366596972327,US
1887-03-31,17.473213711513765,US
1887-04-30,17.822983639100723,US
1887-05-31,18.075445427458252,US
1887-06-30,17.707695663272997,US
1887-07-31,17.431460535613088,US
1887-08-31,16.73984961482072,US
1887-09-30,16.676629667380155,US
1887-10-31,15.880666812517322,US
1887-11-30,15.950712201066784,US
1887-12-31,15.455513454469953,US
1888-01-31,15.358662514259917,US
1888-02-29,15.418178318820546,US
1888-03-31,14.808972366946579,US
1888-04-30,15.020108681844473,US
1888-05-31,15.38791695722914,US
1888-06-30,15.077628818434698,US
1888-07-31,15.279642515498182,US
1888-08-31,15.602911670088815,US
1888-09-30,15.987828821761426,US
1888-10-31,15.715941874329712,US
1888-11-30,15.22374901694629,US
1888-12-31,14.946748301089235,US
1889-01-31,15.802286071028167,US
1889-02-28,16.192720447849002,US
1889-03-31,16.065045360769297,US
1889-04-30,16.050104533967488,US
1889-05-31,16.915421076068384,US
1889-06-30,17.21930294394769,US
1889-07-31,16.889214491107516,US
1889-08-31,17.131853975345734,US
1889-09-30,17.3507880263486,US
1889-10-31,17.053214402955494,US
1889-11-30,16.90602117024937,US
1889-12-31,16.61033807660339,US
1890-01-31,17.220071982181903,US
1890-02-28,17.02681498267141,US
1890-03-31,16.90112228858991,US
1890-04-30,17.257854542603198,US
1890-05-31,17.786430487858624,US
1890-06-30,17.684360844450165,US
1890-07-31,17.589295440864863,US
1890-08-31,16.5967911339791,US
1890-09-30,16.16970200061531,US
1890-10-31,15.48284916334444,US
1890-11-30,14.745043493292805,US
1890-12-31,14.442991231338441,US
1891-01-31,15.428980086469101,US
1891-02-28,15.476522332432543,US
1891-03-31,15.051623357657386,US
1891-04-30,15.408945125474125,US
1891-05-31,15.566495230713256,US
1891-06-30,15.658211395638151,US
1891-07-31,15.617919238645992,US
1891-08-31,16.16399850996304,US
1891-09-30,17.71126141325653,US
1891-10-31,17.71656858982637,US
1891-11-30,17.671739174764006,US
1891-12-31,18.20630300020994,US
1892-01-31,19.016388404225278,US
1892-02-29,19.03642504097844,US
1892-03-31,19.738054849323017,US
1892-04-30,19.943265241638652,US
1892-05-31,19.911465213489812,US
1892-06-30,19.769284397136747,US
1892-07-31,19.21188643450556,US
1892-08-31,19.204303803173826,US
1892-09-30,18.6942718095882,US
1892-10-31,19.04021491532471,US
1892-11-30,18.463312690800002,US
1892-12-31,18.01300925127574,US
1893-01-31,17.65664370809878,US
1893-02-28,17.125193854872453,US
1893-03-31,16.899589031582327,US
1893-04-30,17.102541578254918,US
1893-05-31,15.78098731077625,US
1893-06-30,15.41650386359769,US
1893-07-31,14.349854182760948,US
1893-08-31,14.58805653580781,US
1893-09-30,15.012069079138762,US
1893-10-31,15.271794153520183,US
1893-11-30,15.942411400571672,US
1893-12-31,15.612694335464933,US
1894-01-31,15.739869351948219,US
1894-02-28,16.20273659644992,US
1894-03-31,17.187622088121927,US
1894-04-30,17.434849078052448,US
1894-05-31,16.808751920918002,US
1894-06-30,16.60631969529252,US
1894-07-31,16.289679714916947,US
1894-08-31,16.45777707299836,US
1894-09-30,16.522315444877208,US
1894-10-31,16.50290420570842,US
1894-11-30,16.542784447444543,US
1894-12-31,16.67246633376772,US
1895-01-31,16.524443935162704,US
1895-02-28,16.3312376932114,US
1895-03-31,16.36462542717479,US
1895-04-30,16.387543823686293,US
1895-05-31,17.080369553382383,US
1895-06-30,17.20741353978338,US
1895-07-31,17.54601464874055,US
1895-08-31,18.074072547241787,US
1895-09-30,18.200335946605456,US
1895-10-31,17.944706622466466,US
1895-11-30,17.342998991921686,US
1895-12-31,16.54841515666795,US
1896-01-31,16.576224828568176,US
1896-02-29,17.515403352637264,US
1896-03-31,17.232362712298603,US
1896-04-30,17.643699378129995,US
1896-05-31,17.82826689423282,US
1896-06-30,17.777578616430457,US
1896-07-31,16.637100103394577,US
1896-08-31,15.70337054622687,US
1896-09-30,16.544339943032014,US
1896-10-31,16.43886680472588,US
1896-11-30,17.089425242371114,US
1896-12-31,16.501404180590086,US
1897-01-31,17.026521282380553,US
1897-02-28,16.89402588325409,US
1897-03-31,16.95803071672104,US
1897-04-30,16.69685743473466,US
1897-05-31,17.047755129229383,US
1897-06-30,17.85049728069061,US
1897-07-31,18.651975755820285,US
1897-08-31,19.006396010519442,US
1897-09-30,19.372370293397793,US
1897-10-31,19.02803122390242,US
1897-11-30,18.358448098050218,US
1897-12-31,18.748757662525502,US
1898-01-31,19.249000021813753,US
1898-02-28,18.91813188800214,US
1898-03-31,18.04217492346868,US
1898-04-30,17.705089426411774,US
1898-05-31,17.595635274512816,US
1898-06-30,19.544817480547998,US
1898-07-31,19.858943014167306,US
1898-08-31,20.544915179153282,US
1898-09-30,20.4427328626913,US
1898-10-31,19.94719982577366,US
1898-11-30,20.5274163248113,US
1898-12-31,21.403631985448186,US
1899-01-31,22.932807416487183,US
1899-02-28,23.048117549980198,US
1899-03-31,23.279682245508727,US
1899-04-30,23.152421525686492,US
1899-05-31,22.091269360834193,US
1899-06-30,21.21209192504684,US
1899-07-31,21.561425634523125,US
1899-08-31,21.72623737305546,US
1899-09-30,20.59114051411378,US
1899-10-31,20.153713460686614,US
1899-11-30,20.1964575208023,US
1899-12-31,18.512649643600202,US
1900-01-31,18.674275362444785,US
