date,close,return_m,asset_id
2017-09-29,100.01,0.00012000240004805818,CN_GOVT
2017-10-31,99.386,-0.0062393760623938865,CN_GOVT
2017-11-30,97.822,-0.015736622864387262,CN_GOVT
2017-12-29,98.116,0.003005458894727031,CN_GOVT
2018-01-31,98.053,-0.0006420971095438821,CN_GOVT
2018-02-28,99.467,0.014420772439394991,CN_GOVT
2018-03-30,99.565,0.0009852513899082371,CN_GOVT
2018-04-27,101.6,0.020438909255260373,CN_GOVT
2018-05-31,101.791,0.0018799212598425985,CN_GOVT
2018-06-29,102.2,0.004018036958080895,CN_GOVT
2018-07-31,102.699,0.004882583170254362,CN_GOVT
2018-08-31,102.577,-0.0011879375651174806,CN_GOVT
2018-09-28,102.373,-0.001988749914698218,CN_GOVT
2018-10-31,103.402,0.010051478417160808,CN_GOVT
2018-11-30,104.587,0.01146012649658612,CN_GOVT
2018-12-28,106.134,0.01479151328559003,CN_GOVT
2019-01-31,106.351,0.0020445851470782817,CN_GOVT
2019-02-28,106.01,-0.0032063638329681288,CN_GOVT
2019-03-29,106.88,0.008206772945948293,CN_GOVT
2019-04-30,104.796,-0.0194985029940119,CN_GOVT
2019-05-31,105.917,0.010696973166914647,CN_GOVT
2019-06-28,106.436,0.004900063257078813,CN_GOVT
2019-07-31,107.139,0.006604908113795993,CN_GOVT
2019-08-30,108.159,0.009520342732338483,CN_GOVT
2019-09-30,107.43,-0.006740077108701059,CN_GOVT
2019-10-31,106.651,-0.007251233361258547,CN_GOVT
2019-11-29,107.6,0.00889818192046965,CN_GOVT
2019-12-31,108.47,0.008085501858736022,CN_GOVT
2020-01-23,109.663,0.010998432746381459,CN_GOVT
2020-02-28,111.7,0.018575089136718903,CN_GOVT
2020-03-31,112.815,0.009982094897045712,CN_GOVT
2020-04-30,114.501,0.014944821167397926,CN_GOVT
2020-05-29,112.733,-0.015440913179797566,CN_GOVT
2020-06-30,111.463,-0.011265556669298293,CN_GOVT
2020-07-31,110.361,-0.009886688856391768,CN_GOVT
2020-08-31,109.724,-0.0057719665461530845,CN_GOVT
2020-09-30,110.188,0.004228792242353618,CN_GOVT
2020-10-30,110.104,-0.000762333466439169,CN_GOVT
2020-11-30,109.682,-0.0038327399549517027,CN_GOVT
2020-12-31,110.105,0.0038566036359657385,CN_GOVT
2021-01-29,110.282,0.001607556423413925,CN_GOVT
2021-02-26,110.445,0.0014780290527918183,CN_GOVT
2021-03-31,110.934,0.004427543121010569,CN_GOVT
2021-04-30,111.66,0.0065444318243279564,CN_GOVT
2021-05-31,112.392,0.006555615260612546,CN_GOVT
2021-06-30,112.72,0.0029183571784467954,CN_GOVT
2021-07-30,114.564,0.016359119943222034,CN_GOVT
2021-08-31,114.718,0.001344226807723281,CN_GOVT
2021-09-30,114.93,0.0018480099025437458,CN_GOVT
2021-10-29,114.523,-0.0035412860001741153,CN_GOVT
2021-11-30,115.418,0.007815024056303299,CN_GOVT
2021-12-31,116.195,0.00673205219289863,CN_GOVT
2022-01-28,117.039,0.007263651620121436,CN_GOVT
2022-02-28,116.794,-0.0020933193209101697,CN_GOVT
2022-03-31,116.882,0.0007534633628440979,CN_GOVT
2022-04-29,117.204,0.002754915213634135,CN_GOVT
2022-05-31,117.783,0.004940104433295955,CN_GOVT
2022-06-30,117.565,-0.0018508613297335552,CN_GOVT
2022-07-29,118.774,0.010283672861821191,CN_GOVT
2022-08-31,119.891,0.009404415107683528,CN_GOVT
2022-09-30,118.901,-0.008257500563011444,CN_GOVT
2022-10-31,120.258,0.011412856073540256,CN_GOVT
2022-11-30,118.737,-0.012647807214488882,CN_GOVT
2022-12-30,119.333,0.005019496871236484,CN_GOVT
2023-01-31,119.127,-0.001726261805200635,CN_GOVT
2023-02-28,119.303,0.0014774148597715975,CN_GOVT
2023-03-31,119.852,0.004601728372295888,CN_GOVT
2023-04-28,120.749,0.007484230551012772,CN_GOVT
2023-05-31,121.504,0.006252639773414392,CN_GOVT
