date,return_m,asset_id
1997-08-31,0.0263111508381355,CN
1997-09-30,-0.101289458835968,CN
1997-10-31,0.0756434931202849,CN
1997-11-30,-0.0345350188458288,CN
1997-12-31,0.047799805330708,CN
1998-01-31,0.0241276807682289,CN
1998-02-28,-0.0133966480480386,CN
1998-03-31,0.0302404092961741,CN
1998-04-30,0.080797035232103,CN
1998-05-31,0.0504381162699538,CN
1998-06-30,-0.0510250138746836,CN
1998-07-31,-0.0166390735796108,CN
1998-08-31,-0.1265802450825902,CN
1998-09-30,0.0805695693992769,CN
1998-10-31,-0.0205809304520102,CN
1998-11-30,0.0247273108694694,CN
1998-12-31,-0.080740475435568,CN
1999-01-31,-0.0104883387557237,CN
1999-02-28,-0.0392940860812538,CN
1999-03-31,0.0623499928835331,CN
1999-04-30,-0.0320597783567824,CN
1999-05-31,0.1413107611606865,CN
1999-06-30,0.3205609146890638,CN
1999-07-31,-0.0520702837050898,CN
1999-08-31,0.0160210050161779,CN
1999-09-30,-0.0346711246038249,CN
1999-10-31,-0.0421079472590404,CN
1999-11-30,-0.0462526104671823,CN
1999-12-31,-0.0476615694760295,CN
2000-01-31,0.1232397646704255,CN
2000-02-29,0.1169911476978169,CN
2000-03-31,0.0499522171110942,CN
2000-04-30,0.020050865767035,CN
2000-05-31,0.0317117261806076,CN
2000-06-30,0.0177097104377486,CN
2000-07-31,0.0494957152382735,CN
2000-08-31,-0.0011563730124292,CN
2000-09-30,-0.0549366812778278,CN
2000-10-31,0.0267652707153911,CN
2000-11-30,0.0557419951859925,CN
2000-12-31,0.0013831718532368,CN
2001-01-31,-0.0037960843342993,CN
2001-02-28,-0.0515228487592429,CN
2001-03-31,0.0783975155024083,CN
2001-04-30,0.0030335364550146,CN
2001-05-31,0.0448630200901409,CN
2001-06-30,0.0017034935510364,CN
2001-07-31,-0.1342232461758316,CN
2001-08-31,-0.0448780118801785,CN
2001-09-30,-0.037767604389888,CN
2001-10-31,-0.0428909950967609,CN
2001-11-30,0.0348236095339964,CN
2001-12-31,-0.0583652750758595,CN
2002-01-31,-0.0937476499566812,CN
2002-02-28,0.0221470704729731,CN
2002-03-31,0.0519472190973655,CN
2002-04-30,0.0398053456872151,CN
2002-05-31,-0.0911504003747566,CN
2002-06-30,0.1431795494602712,CN
2002-07-31,-0.0468392880202221,CN
2002-08-31,0.0090966956194218,CN
2002-09-30,-0.0510014879584499,CN
2002-10-31,-0.0468647096483147,CN
2002-11-30,-0.0486329424562652,CN
2002-12-31,-0.0533600015456873,CN
2003-01-31,0.1047106870749265,CN
2003-02-28,0.0080790403503556,CN
2003-03-31,-0.0008955455008082,CN
2003-04-30,0.0071932510441705,CN
2003-05-31,0.0360295993098018,CN
2003-06-30,-0.0572474604518177,CN
2003-07-31,-0.0062462680234598,CN
2003-08-31,-0.0370808937736567,CN
2003-09-30,-0.0385532177543173,CN
2003-10-31,-0.0137935708218632,CN
2003-11-30,0.0362841274178387,CN
2003-12-31,0.0714408713490843,CN
2004-01-31,0.0625800323945693,CN
2004-02-29,0.0530184666830171,CN
2004-03-31,0.0397333537188671,CN
2004-04-30,-0.0838505272448136,CN
2004-05-31,-0.0248692358203231,CN
2004-06-30,-0.1007413159692207,CN
2004-07-31,-0.0092626594026227,CN
2004-08-31,-0.031842410996985,CN
2004-09-30,0.04071193355898,CN
2004-10-31,-0.0545313546877291,CN
2004-11-30,0.0153233120391693,CN
2004-12-31,-0.0553972487698928,CN
2005-01-31,-0.0589602930467892,CN
2005-02-28,0.0958028615810002,CN
2005-03-31,-0.0955335362163357,CN
2005-04-30,-0.0187007224064852,CN
2005-05-31,-0.0848969494058589,CN
2005-06-30,0.0190432985951196,CN
2005-07-31,0.0019381044295205,CN
2005-08-31,0.0736496650325748,CN
2005-09-30,-0.0061781669076128,CN
2005-10-31,-0.0543408061233005,CN
2005-11-30,0.0058966593937217,CN
2005-12-31,0.0562159680698124,CN
2006-01-31,0.0835351004307576,CN
2006-02-28,0.0325775115702995,CN
2006-03-31,-0.0005657955050972,CN
2006-04-30,0.109318740125764,CN
2006-05-31,0.1396152007232902,CN
2006-06-30,0.0188332479270061,CN
2006-07-31,-0.0355684929861863,CN
2006-08-31,0.0284640460071594,CN
2006-09-30,0.056543992218766,CN
2006-10-31,0.0488289901466698,CN
2006-11-30,0.142163770230923,CN
2006-12-31,0.2744667558585683,CN
2007-01-31,0.0414359604414449,CN
2007-02-28,0.0340009505093741,CN
2007-03-31,0.105137881724872,CN
2007-04-30,0.2064361150945199,CN
2007-05-31,0.069867959844539,CN
2007-06-30,-0.0703102843188752,CN
2007-07-31,0.1702119651755933,CN
2007-08-31,0.1672528693278803,CN
2007-09-30,0.0638985927785098,CN
2007-10-31,0.0724860506166855,CN
2007-11-30,-0.1818690208299731,CN
2007-12-31,0.0800088119140445,CN
2008-01-31,-0.1669028621021724,CN
2008-02-29,-0.007950484277428,CN
2008-03-31,-0.2014077092991816,CN
2008-04-30,0.0634642348353149,CN
2008-05-31,-0.0703342812654649,CN
2008-06-30,-0.2030815860436217,CN
2008-07-31,0.0144782609704332,CN
2008-08-31,-0.1363064530499887,CN
2008-09-30,-0.0432077687707562,CN
2008-10-31,-0.2463169769605971,CN
2008-11-30,0.0823525839707983,CN
2008-12-31,-0.0269090081162487,CN
2009-01-31,0.093283972583867,CN
2009-02-28,0.0463138899235209,CN
2009-03-31,0.1394054079524465,CN
2009-04-30,0.043972541015649,CN
2009-05-31,0.0627069656132468,CN
2009-06-30,0.1239805605851593,CN
2009-07-31,0.1529721412621671,CN
2009-08-31,-0.2181428391321401,CN
2009-09-30,0.0418634102199635,CN
2009-10-31,0.0778656719131727,CN
2009-11-30,0.0665765191130007,CN
2009-12-31,0.0256119501651632,CN
2010-01-31,-0.087834825195049,CN
2010-02-28,0.020958515665453,CN
2010-03-31,0.0187296627348787,CN
2010-04-30,-0.0767082160244129,CN
2010-05-31,-0.0970055084940725,CN
2010-06-30,-0.0747550019166597,CN
2010-07-31,0.0997063842591667,CN
2010-08-31,0.0004910576595182,CN
2010-09-30,0.0063892206488642,CN
2010-10-31,0.1216937598683529,CN
2010-11-30,-0.0532604373236049,CN
2010-12-31,-0.0042919246318712,CN
2011-01-31,-0.0061902907550007,CN
2011-02-28,0.0409786536814991,CN
2011-03-31,0.0079372409519815,CN
2011-04-30,-0.0056695506907341,CN
2011-05-31,-0.0577150981359761,CN
2011-06-30,0.0067811898290872,CN
2011-07-31,-0.0218483942538195,CN
2011-08-31,-0.0497418193391421,CN
2011-09-30,-0.0810648712773367,CN
2011-10-31,0.0462148728584184,CN
2011-11-30,-0.0546281525372227,CN
2011-12-31,-0.0574253290343749,CN
2012-01-31,0.0423717355851138,CN
2012-02-29,0.0592673619841093,CN
2012-03-31,-0.0682313598871146,CN
2012-04-30,0.0590103124817928,CN
